5/20/2023 4:47:51	Becky	"Wordle 700 4/6*

⬛⬛⬛⬛🟨
🟩⬛⬛⬛⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"	Found, flash	
5/20/2023 6:18:26	Lindsay	"Wordle 700 3/6*

⬜⬜⬜⬜🟨
🟩🟩⬜🟨⬜
🟩🟩🟩🟩🟩"	Float	
5/20/2023 6:20:52	Mandy	"Wordle 700 4/6*

⬜⬜⬜⬜🟨
🟩🟩⬜⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"	Flown, flash	
5/20/2023 7:08:36	Fred	"Wordle 700 4/6*

⬜⬜⬜⬜🟨
🟩🟩⬜🟨⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"	Float, flash	
5/20/2023 7:21:31	Jeran	"Wordle 700 4/6*

⬛⬛⬛⬛🟨
🟨🟩⬛🟨⬛
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"	Aloft, flash	
5/20/2023 7:38:17	Neela	"Wordle 700 4/6*

⬜⬜⬜⬜🟨
🟩⬜⬜⬜⬜
🟩🟩🟩🟩⬜
🟩🟩🟩🟩🟩"	Found, flash	
5/20/2023 7:44:21	Dan	"Wordle 700 3/6*

⬛⬛⬛⬛🟨
🟩🟩⬛🟨⬛
🟩🟩🟩🟩🟩"	Float	
5/20/2023 7:58:34	Nancy	"Wordle 700 4/6*

⬜⬜⬜⬜🟨
🟩⬜⬜⬜⬜
🟩🟨⬜⬜⬜
🟩🟩🟩🟩🟩"	Found, fatty	
5/20/2023 9:24:21	Sharon	"Wordle 700 3/6*

⬛⬛⬛⬛🟨
🟩🟩🟩🟩⬛
🟩🟩🟩🟩🟩"	Flash	Almost got it in 2!
