1/24/2023 6:12:45	Mandy	"Wordle 584 4/6*

⬜🟨⬜⬜⬜
⬜⬜🟩⬜⬜
⬜⬜🟩🟨⬜
🟩🟩🟩🟩🟩"	Brush, pluck
1/24/2023 6:49:56	Fred	"Wordle 584 3/6*

⬜🟨⬜⬜⬜
⬜⬜🟩⬜🟩
🟩🟩🟩🟩🟩"	Spurt
1/24/2023 7:06:31	Neela	"Wordle 584 3/6*

⬜🟨⬜⬜⬜
🟩⬜🟨🟨🟩
🟩🟩🟩🟩🟩"	Clout
1/24/2023 7:47:42	Becky	"Wordle 584 4/6*

⬛🟨⬛⬛⬛
⬛🟩🟩🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Pouch, court
1/24/2023 7:48:35	Dan	"Wordle 584 5/6*

⬛🟨⬛⬛⬛
⬛⬛🟨🟨🟩
⬛🟩🟩⬛🟩
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	About, joust, court
1/24/2023 8:23:08	Nancy	"Wordle 584 4/6*

⬜🟨⬜⬜⬜
⬜⬜🟩⬜🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"	Blurt, shunt
1/24/2023 9:18:28	Sharon	"Wordle 584 3/6*

⬛🟨⬛⬛⬛
⬛⬛🟨🟨🟩
🟩🟩🟩🟩🟩"	Spout
