7/8/2023 6:01:50	Becky	"Wordle 749 6/6*

⬛⬛⬛🟩🟩
🟩⬛⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩"	Caper, cover, coder, corer 	
7/8/2023 6:02:52	Jeran	"Wordle 749 5/6*

⬛⬛⬛🟩🟩
⬛⬛⬛🟩🟩
🟨⬛⬛🟩🟩
🟩🟩⬛🟩🟩
🟩🟩🟩🟩🟩"	Laser, order, cover	
7/8/2023 6:33:15	Lindsay	"Wordle 749 X/6*

⬜⬜⬜🟩🟩
⬜⬜⬜🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩
⬜🟩🟩🟩🟩"	Saver, Power, Mower, Lower, Rower	
7/8/2023 6:43:59	Fred	"Wordle 749 5/6*

⬜⬜⬜🟩🟩
🟩⬜⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Caper, cover, comer 	
7/8/2023 8:00:41	Sharon	"Wordle 749 6/6*

⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
⬛🟩🟩🟩🟩
🟩🟩🟩🟩🟩"	Loser power mower rower	
7/8/2023 8:16:09	Neela	"Wordle 749 6/6*

⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Boxer, poker, coder, cover, 	
7/8/2023 8:40:10	Dan	"Wordle 749 2/6*

⬛⬛⬛🟩🟩
🟩🟩🟩🟩🟩"		Boooom shakalaka!!! Sweet sassy mollassy! 
7/8/2023 8:48:03	Nancy	"Wordle 749 4/6*

⬜⬜⬜🟩🟩
⬜⬜⬜🟩🟩
🟩🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Laser, cover	
7/8/2023 8:57:21	Mandy	"Wordle 749 3/6*

⬜⬜⬜🟩🟩
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩"	Caper	
