5/25/2023 5:19:08	Fred	"Wordle 705 4/6*

⬜⬜⬜🟩⬜
⬜🟩⬜🟩🟩
🟨🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Panel, gavel	
5/25/2023 5:56:02	Lindsay	"Wordle 705 5/6*

⬜⬜⬜🟩⬜
⬜🟨⬜🟩⬜
⬜🟩⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Flies, Camel, Panel	
5/25/2023 7:49:14	Nancy	"Wordle 705 4/6*

⬜⬜⬜🟩⬜
🟨⬜⬜🟩⬜
🟩⬜⬜🟩🟩
🟩🟩🟩🟩🟩"	Lined, bevel	
5/25/2023 7:57:52	Becky	"Wordle 705 4/6*

⬛⬛⬛🟩⬛
⬛⬛⬛🟩⬛
🟨🟨⬛🟩⬛
🟩🟩🟩🟩🟩"	Spied, alley	EVERYTHING
5/25/2023 7:59:59	Dan	"Wordle 705 4/6*

⬛⬛⬛🟩⬛
⬛⬛⬛🟩🟩
🟨🟩⬛🟩🟩
🟩🟩🟩🟩🟩"	Yodel, gavel	
5/25/2023 9:05:01	Mandy	"Wordle 705 4/6*

⬜⬜⬜🟩⬜
⬜⬜⬜🟩🟩
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Level, camel	
5/25/2023 9:19:58	Jeran	"Wordle 705 X/6*

⬛⬛⬛🟩⬛
⬛⬛⬛🟩⬛
⬛⬛⬛🟩🟩
⬛⬛⬛🟩🟩
⬛⬛⬛🟩🟩
⬛🟩⬛🟩🟩"	Dozen, wheel, spiel, level, camel	Is this month over yet!?🤦‍♂️
5/25/2023 10:09:19	Sharon	"Wordle 705 4/6*

⬛⬛⬛🟩⬛
🟨🟩⬛🟩⬛
⬛🟩⬛🟩🟩
🟩🟩🟩🟩🟩"	Laden camel	Made me smile!
5/25/2023 20:31:15	Neela	"Wordle 705 3/6*

⬜⬜⬜🟩⬜
⬜🟩⬜🟩🟩
🟩🟩🟩🟩🟩"	Camel	
