4/17/2023 5:38:34	Jeran	"Wordle 667 5/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛🟨
🟨⬛⬛⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"	Death, honor, whips	
4/17/2023 5:41:08	Lindsay	"Wordle 667 4/6*

⬜⬜⬜⬜⬜
⬜🟩🟩⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩"	Lucky, shine, third, whiff	
4/17/2023 6:44:42	Fred	"Wordle 667 4/6*

⬜⬜⬜⬜⬜
🟨⬜⬜⬜⬜
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩"	Irate, scion	
4/17/2023 8:31:56	Becky	"Wordle 667 4/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟨🟩⬛⬛
🟩🟩🟩🟩🟩"	Orate, swing	Swing and a whiff…
4/17/2023 8:45:25	Mandy	"Wordle 667 4/6*

⬜⬜⬜⬜⬜
🟨⬜⬜⬜⬜
⬜🟨🟩⬜🟨
🟩🟩🟩🟩🟩"	Irate, swish	
4/17/2023 9:15:25	Dan	"Wordle 667 4/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟨🟩⬛🟨
🟩🟩🟩🟩🟩"	Orate, swish	Hard month so far. 
4/17/2023 9:39:09	Sharon	"Wordle 667 5/6*

⬛⬛⬛⬛⬛
⬛⬛⬛⬛⬛
⬛🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"	Atone phish whirr	Painful today!
4/17/2023 11:46:02	Nancy	"Wordle 667 4/6*

⬜⬜⬜⬜⬜
⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
🟩🟩🟩🟩🟩"	Raise, point	
4/17/2023 13:20:20	Neela	"Wordle 667 5/6*

⬜⬜⬜⬜⬜
⬜⬜🟩⬜⬜
⬜⬜🟩⬜⬜
⬜🟨🟩⬜🟨
🟩🟩🟩🟩🟩"	Abide, point, swish	
