4/15/2023 0:53:20	Sharon	"Wordle 665 3/6*

⬛⬛⬛⬛🟩
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩"	Irony	
4/15/2023 4:05:44	Becky	"Wordle 665 4/6*

⬛⬛⬛⬛🟩
⬛🟨⬛⬛🟩
🟩🟨⬛🟨🟩
🟩🟩🟩🟩🟩"	Dopey, annoy	
4/15/2023 6:24:10	Neela	"Wordle 665 4/6*

⬜⬜⬜⬜🟩
⬜⬜⬜🟨🟩
⬜🟨🟨🟨🟩
🟩🟩🟩🟩🟩"	Stray, mangy	
4/15/2023 7:09:01	Jeran	"Wordle 665 6/6*

⬛⬛⬛⬛🟩
⬛⬛🟨⬛🟩
⬛🟨⬛⬛🟩
⬛🟨🟨⬛🟩
🟩🟨⬛🟨🟩
🟩🟩🟩🟩🟩"	Ready, hasty, foamy, annoy	
4/15/2023 7:34:50	Dan	"Wordle 665 5/6*

⬛⬛⬛⬛🟩
⬛⬛🟩🟩🟩
⬛⬛🟩🟩🟩
⬛⬛🟩🟩🟩
🟩🟩🟩🟩🟩"	Peony, irony, stony	Terrible rabbit hole. First guess was too good. 
4/15/2023 7:36:41	Nancy	"Wordle 665 4/6*

⬜⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜⬜🟨⬜🟩
🟩🟩🟩🟩🟩"	Daisy, weary	
4/15/2023 8:16:41	Lindsay	"Wordle 665 4/6*

⬜⬜⬜⬜🟩
⬜🟨🟩⬜🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"	Lucky, snowy, peony, agony	
4/15/2023 8:35:16	Mandy	"Wordle 665 4/6*

⬜⬜⬜⬜🟩
🟨⬜🟨⬜🟩
⬜🟨🟨⬜🟩
🟩🟩🟩🟩🟩"	Gravy, baggy	
4/15/2023 11:39:32	Fred	"Wordle 665 6/6*

⬜⬜⬜⬜🟩
⬜🟨⬜⬜🟩
⬜🟨🟩⬜🟩
⬜⬜🟩🟩🟩
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"	Forty, snowy, phony, ebony 	Not good 
