1/12/2023 7:01:01	Fred	"Wordle 572 5/6*

⬜⬜⬜⬜🟨
⬜⬜🟨🟨⬜
⬜🟩🟩🟨⬜
⬜🟩🟩⬜🟩
🟩🟩🟩🟩🟩"	Ocean, death, feast
1/12/2023 7:34:50	Becky	"Wordle 572 5/6*

⬛⬛⬛⬛🟨
⬛⬛🟨🟨⬛
🟨🟨⬛🟨⬛
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Ocean, earth, least
1/12/2023 8:14:17	Nancy	"Wordle 572 4/6*

⬜⬜⬜⬜🟨
⬜🟨🟨🟨⬜
🟩🟨⬜🟨⬜
🟩🟩🟩🟩🟩"	Clean, laser
1/12/2023 8:52:01	Dan	"Wordle 572 4/6*

⬛⬛⬛⬛🟨
⬛🟩⬛⬛⬛
🟨🟩🟩⬛🟨
🟩🟩🟩🟩🟩"	Wench, pearl
1/12/2023 9:28:33	Sharon	"Wordle 572 4/6*

⬛⬛⬛⬛🟨
🟩🟩🟩⬛🟩
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Least, leant, leapt
1/12/2023 17:28:36	Mandy	"Wordle 572 4/6*

⬜⬜⬜⬜🟨
🟨⬜⬜⬜⬜
🟨🟩🟩⬜⬜
🟩🟩🟩🟩🟩"	Every, peach
