1/31/2023 1:49:27	Nancy	"Wordle 591 4/6*

⬜⬜⬜⬜⬜
⬜⬜⬜🟨🟨
🟨⬜🟩🟩⬜
🟩🟩🟩🟩🟩"	Manor, roost
1/31/2023 5:58:57	Fred	"Wordle 591 5/6*

⬜⬜⬜⬜⬜
⬜🟨🟨⬜⬜
⬜⬜🟩⬜🟨
🟨🟨🟩🟨⬜
🟩🟩🟩🟩🟩"	Aorta, floor, scorn
1/31/2023 6:49:18	Becky	"Wordle 591 4/6*

⬛⬛⬛⬛⬛
⬛🟨⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"	Poach, crook
1/31/2023 8:03:26	Mandy	"Wordle 591 4/6*

⬜⬜⬜⬜⬜
⬜⬜⬜🟨🟨
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩"	Major, brown
1/31/2023 8:27:29	Dan	"Wordle 591 6/6*

⬛⬛⬛⬛⬛
⬛⬛⬛🟨🟨
🟨🟨🟨⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩"	Labor, rocky, crown, croft
1/31/2023 12:07:39	Neela	"Wordle 591 4/6*

⬜⬜⬜⬜⬜
⬜🟨⬜🟩⬜
⬜⬜🟩🟩🟩
🟩🟩🟩🟩🟩"	Boast, floss
1/31/2023 12:29:35	Sharon	"Wordle 591 3/6*

⬛⬛⬛⬛⬛
🟨🟨⬛🟩⬛
🟩🟩🟩🟩🟩"	Roast
