3/21/2023 6:11:17	Becky	"Wordle 640 3/6*

🟨⬛⬛🟨⬛
⬛⬛🟨🟨🟨
🟩🟩🟩🟩🟩"	Orate, snout	
3/21/2023 7:06:40	Fred	"Wordle 640 3/6*

⬜⬜⬜🟨⬜
⬜⬜🟨🟨🟨
🟩🟩🟩🟩🟩"	Irate, clout	
3/21/2023 7:37:12	Nancy	"Wordle 640 3/6*

⬜⬜🟨⬜⬜
⬜🟩🟩⬜⬜
🟩🟩🟩🟩🟩"	Score, found	
3/21/2023 7:55:39	Neela	"Wordle 640 5/6*

🟨⬜⬜⬜⬜
⬜🟨⬜🟨⬜
🟨🟩⬜⬜⬜
⬜🟩⬜🟨🟩
🟩🟩🟩🟩🟩"	Opine, chaos, hoody, worth	
3/21/2023 8:19:36	Dan	"Wordle 640 3/6*

🟨⬛⬛⬛⬛
⬛🟩🟩🟨🟩
🟩🟩🟩🟩🟩"	Ocean, south	
3/21/2023 10:09:42	Jeran	"Wordle 640 4/6*

⬛⬛🟨⬛⬛
⬛🟩⬛⬛🟨
🟩🟩🟩⬛🟩
🟩🟩🟩🟩🟩"	Adore moist touch	
3/21/2023 16:17:37	Sharon	"Wordle 640 3/6*

⬛⬛⬛🟨⬛
⬛🟨⬛🟩⬛
🟩🟩🟩🟩🟩"	Rebus fungi	Having fun with guesses!
3/21/2023 22:15:52	Mandy	"Wordle 640 4/6*

⬜⬜⬜⬜🟨
⬜🟩🟩⬜🟨
🟩🟩🟩⬜🟩
🟩🟩🟩🟩🟩"	Adieu, roust, touch	
